Match No.,1st Team,2nd Team,Toss Winning,Toss Decision,First Innings Score,Fall of wickets First Innings,Second Innings Score,Fall of wickets Second Innings,Winners,Method,Won by,Winning Margin,Top Scorer,Highest Score,Best Bowler,Best Bowler Figure(Wickets Taken),Best Bowler Figure(Runs Recieved),Player Of The Match
1st,Canada,United State Of America,United State Of America,Fielding,194,5,197,3,United State Of America,Normal Match,Wickets,7,Aaron Jones,94,Dilon Heyliger,1,19,Aaron Jones
2nd,Papua New Guinea,Afghanistan,Afghanistan,Fielding,95,10,101,3,Afghanistan,Normal Match,Wickets,7,Gulbadin Naib,49,Fazalhaq Farooqi,3,16,Fazalhaq Farooqi
3rd,Oman,Namibia,Namibia,Fielding,109,10,109,6,Namibia,Normal Match,Wickets,4,Jan Frylinck,45,Mehran Khan,3,7,David Wiese
4th,Sri Lanka,South Africa,Sri Lanka,Batting,77,10,80,4,South Africa,Normal Match,Wickets,6,Quinton de Kock,20,Anrich Nortje,4,7,Anrich Nortje
5th,Afghanistan,Uganda,Uganda,Fielding,183,5,58,10,Afghanistan,Normal Match,Runs,125,Rahmanullah Gurbaz,76,Fazalhaq Farooqi,5,9,Fazalhaq Farooqi
6th,Scotland,England,Scotland,Batting,90,0,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain,Rain
7th,Nepal,Netherlands,Netherlands,Fielding,106,10,109,4,Netherlands,Normal Match,Wickets,6,Max O'Dowd,54,Tim Pringle,3,20,Tim Pringle
8th,Ireland,India,India,Fielding,96,10,97,2,India,Normal Match,Wickets,8,Rohit Sharma,52,Jasprit Bumrah,2,6,Jasprit Bumrah
9th,Papua New Guinea,Uganda,Uganda,Fielding,77,10,78,8,Uganda,Normal Match,Wickets,3,Riazat Ali Shah,33,Alpesh Ramjani,17,17,Riazat Ali Shah
10th,Australia,Oman,Oman,Fielding,164,5,125,9,Australia,Normal Match,Runs,39,Marcus Stoinis,67,Marcus Stoinis,3,19,Marcus Stoinis
11th,Pakistan,United State Of America,United State Of America,Fielding,159,7,160,3,United State Of America,Normal Match,Runs,1,Monank Patel,50,Nosthush Kenjige,30,30,Monank Patel
12th,Namibia,Scotland,Namibia,Batting,155,9,157,5,Scotland,Normal Match,Wickets,5,Michael Leask,35,Brad Currie,2,16,Michael Leask
13th,Canada,Ireland,Ireland,Fielding,137,7,125,7,Canada,Normal Match,Runs,12,Nicholas Kirton,49,Jeremy Gordon,2,16,Nicholas Kirton
14th,Afghanistan,New Zealand,New Zealand,Fielding,159,6,75,10,Afghanistan,Normal Match,Runs,84,Rahmanullah Gurbaz,80,Rashid Khan,4,17,Rahmanullah Gurbaz
15th,Sri Lanka,Bangladesh,Bangladesh,Fielding,124,9,125,8,Bangladesh,Normal Match,Wickets,2,Pathum Nissanka,47,Rishad Hossain,3,22,Rishad Hossain
16th,Netherlands,South Africa,South Africa,Fielding,103,9,106,6,South Africa,Normal Match,Wickets,4,David Miller,59,Ottneil Baartman,4,11,David Miller
17th,Australia,England,England,Fielding,201,7,165,6,Australia,Normal Match,Runs,36,Jos Buttler,42,Adam Zampa,2,28,Adam Zampa
18th,West Indies,Uganda,West Indies,Batting,173,5,39,10,West Indies,Normal Match,Runs,134,Johnson Charles,44,Akeal Hosein,5,11,Akeal Hosein
